window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
00_normal_p2l_v2:0020,00_normal_p2l_v2,23.989999999999984,24.389999999999983,20.0,1.0,3.705834039753608e-05,3.705834039741673e-05,3.705834039753608e-05,1.0,0.06,20.0,1.0,5.202048235479137e-14,5.980678902521982e-14,5.2336643225318686e-14,1.0,0.08,40.0,1.0,0.00013329100025428632,0.0002982951903068721,0.00016869584597048064,1.0,0.08,6.0,1.0,0.035204552108636884,0.05815236452593156,0.04016031083124834,1.0,0.12
00_normal_p2l_v2:0021,00_normal_p2l_v2,24.189999999999984,24.589999999999982,20.0,1.0,3.705834039632594e-05,3.7058340397466694e-05,3.705834039632594e-05,1.0,0.06,20.0,1.0,6.303781290962195e-14,7.253078716142421e-14,6.342354575316828e-14,1.0,0.08,40.0,1.0,0.00013702521627582931,0.000265385338906398,0.00016505448942910595,1.0,0.08,6.0,1.0,0.02431262079485073,0.04268075566400267,0.028291069522732686,1.0,0.12
00_normal_p2l_v2:0022,00_normal_p2l_v2,24.389999999999983,24.78999999999998,20.0,1.0,3.7058340396409203e-05,3.7058340397466694e-05,3.7058340396409203e-05,1.0,0.06,20.0,1.0,7.640639477868768e-14,8.788862262266533e-14,7.687347448418582e-14,1.0,0.08,40.0,1.0,0.00015351263372652397,0.00029681561723549467,0.0001871466181986651,1.0,0.08,6.0,1.0,0.029687291672323795,0.05896439578386817,0.03801626979680501,1.0,0.12
00_normal_p2l_v2:0023,00_normal_p2l_v2,24.589999999999982,24.98999999999998,20.0,1.0,3.7058340396578515e-05,3.705834039741673e-05,3.7058340396578515e-05,1.0,0.06,20.0,1.0,9.259831922975412e-14,1.0650669427790342e-13,9.316370000219314e-14,1.0,0.08,40.0,1.0,0.0001512461759099438,0.0002948431798698605,0.00018757354291204124,1.0,0.08,6.0,1.0,0.039604708183464836,0.06621384699148339,0.04529809586954036,1.0,0.12
00_normal_p2l_v2:0024,00_normal_p2l_v2,24.78999999999998,25.18999999999998,20.0,1.0,3.705834039629541e-05,3.705834039741673e-05,3.705834039629541e-05,1.0,0.06,20.0,1.0,1.1222252940781218e-13,1.2908901995215866e-13,1.1290816744801195e-13,1.0,0.08,40.0,1.0,0.00016368047370478967,0.0003616542537198773,0.0002184883740649864,1.0,0.08,6.0,1.0,0.025265408034329927,0.04430762010382844,0.030018571782851913,1.0,0.12
00_normal_p2l_v2:0025,00_normal_p2l_v2,24.98999999999998,25.38999999999998,20.0,1.0,0.006780517229131186,0.02948626959442217,0.015461821010834272,1.0,0.06,20.0,1.0,0.009808020701926008,0.03310703314923022,0.025750750604510583,0.95,0.08,40.0,1.0,0.008119181107989664,0.031822246009119204,0.020698801794342813,1.0,0.08,6.0,1.0,0.014504498498886917,0.02338136326215709,0.01668166543727409,1.0,0.12
00_normal_p2l_v2:0026,00_normal_p2l_v2,25.18999999999998,25.58999999999998,20.0,1.0,0.012577929072616812,0.04279546720507282,0.02124491592744219,1.0,0.06,20.0,1.0,0.030151622294608625,0.08645442954283804,0.04497695376970954,0.85,0.08,40.0,1.0,0.01856528537660747,0.05740700740605378,0.03136190024813089,0.975,0.08,6.0,1.0,0.019040990919855578,0.03434957739203348,0.022580559346981496,1.0,0.12
00_normal_p2l_v2:0027,00_normal_p2l_v2,25.38999999999998,25.789999999999978,20.0,1.0,0.0058476290648245815,0.02118702761103612,0.014569923698387603,1.0,0.06,20.0,1.0,0.029302622757440434,0.06286555932938047,0.038992532264360204,0.9,0.08,40.0,1.0,0.01065638466623329,0.04367838011705198,0.023562662545523805,0.975,0.08,6.0,1.0,0.027780541072677595,0.047162221461165915,0.03256416746980573,1.0,0.12
00_normal_p2l_v2:0028,00_normal_p2l_v2,25.58999999999998,25.989999999999977,20.0,1.0,5.213072680277098e-05,9.543910046441735e-05,6.543726129742752e-05,1.0,0.06,20.0,1.0,0.018086966273328155,0.018258250198978202,0.018089530836348972,1.0,0.08,40.0,1.0,0.00018377066586200904,0.00040659954702075844,0.0002312843845339268,1.0,0.08,6.0,1.0,0.019837504485186213,0.04212318349457485,0.02634404385272109,1.0,0.12
00_normal_p2l_v2:0029,00_normal_p2l_v2,25.789999999999978,26.189999999999976,20.0,1.0,4.1708188755175404e-05,4.296991236439063e-05,4.1718983676771944e-05,1.0,0.06,20.0,1.0,0.018260268541167836,0.018266848530568362,0.01826026923947932,1.0,0.08,40.0,1.0,0.00015821744744466196,0.0003676043640172877,0.0002066055559080773,1.0,0.08,6.0,1.0,0.022087930861984215,0.040446152101645094,0.0270723118775195,1.0,0.12
