window_id,run_id,window_start_sec,window_end_sec,wheel_translation_sample_count,wheel_translation_availability_fraction,wheel_translation_error_abs_mean,wheel_translation_error_abs_p90,wheel_translation_error_rmse,wheel_translation_within_tolerance_fraction,wheel_translation_tolerance,wheel_rotation_sample_count,wheel_rotation_availability_fraction,wheel_rotation_error_abs_mean,wheel_rotation_error_abs_p90,wheel_rotation_error_rmse,wheel_rotation_within_tolerance_fraction,wheel_rotation_tolerance,imu_yaw_rate_sample_count,imu_yaw_rate_availability_fraction,imu_yaw_rate_error_abs_mean,imu_yaw_rate_error_abs_p90,imu_yaw_rate_error_rmse,imu_yaw_rate_within_tolerance_fraction,imu_yaw_rate_tolerance,lidar_translation_sample_count,lidar_translation_availability_fraction,lidar_translation_error_abs_mean,lidar_translation_error_abs_p90,lidar_translation_error_rmse,lidar_translation_within_tolerance_fraction,lidar_translation_tolerance
03_rough_h0p008_spacing0p45:0051,03_rough_h0p008_spacing0p45,25.782999999999966,26.182999999999964,20.0,1.0,0.012609617657176764,0.03304504657495302,0.025403426002958356,0.95,0.06,20.0,1.0,0.0027945608273750836,0.0043103077541444415,0.0030646577413234797,1.0,0.08,40.0,1.0,0.004333627174755381,0.00870197576753012,0.007865815180044049,1.0,0.08,6.0,1.0,0.2593098760719999,0.2818625976301051,0.26112410239424155,0.0,0.12
03_rough_h0p008_spacing0p45:0052,03_rough_h0p008_spacing0p45,25.98299999999996,26.38299999999996,20.0,1.0,0.002112564462306976,0.005488153503644372,0.0031264436897393403,1.0,0.06,20.0,1.0,0.0016850590382553412,0.004118303322488276,0.002324934541385739,1.0,0.08,40.0,1.0,0.0038159661003170143,0.00870197576753012,0.007731036050963747,1.0,0.08,6.0,1.0,0.2755389035161778,0.2818625976301051,0.2756086326620787,0.0,0.12
03_rough_h0p008_spacing0p45:0053,03_rough_h0p008_spacing0p45,26.182999999999964,26.582999999999963,20.0,1.0,4.598636683867119e-05,3.100773360961706e-05,8.012323683214594e-05,1.0,0.06,20.0,1.0,0.0003311670669048072,0.0002552468232426982,0.0004703295288321627,1.0,0.08,40.0,1.0,0.00030128411545121426,0.0005758129448715691,0.0005625345387646805,1.0,0.08,6.0,1.0,0.27766345296057543,0.28127189772437616,0.27768393479956527,0.0,0.12
03_rough_h0p008_spacing0p45:0054,03_rough_h0p008_spacing0p45,26.38299999999996,26.78299999999996,20.0,1.0,0.00043554759026947777,0.0018228819136923715,0.0010207137258160044,1.0,0.06,20.0,1.0,0.00038770932817396307,0.0008357424403560027,0.0005021406316674392,1.0,0.08,40.0,1.0,0.0002700403104376371,0.0005953707040812113,0.00041923153419901906,1.0,0.08,6.0,1.0,0.2780910039792885,0.28221763550509804,0.2781278272314274,0.0,0.12
03_rough_h0p008_spacing0p45:0055,03_rough_h0p008_spacing0p45,26.582999999999963,26.98299999999996,20.0,1.0,0.0014055415751290101,0.0036448010337453373,0.0020446691119892493,1.0,0.06,20.0,1.0,0.0007438654289842363,0.0015483352820353721,0.0009200167681550022,1.0,0.08,40.0,1.0,0.0010230573410103033,0.0014077772790994506,0.00232672546587706,1.0,0.08,6.0,1.0,0.27638422271594715,0.28334064065342635,0.2764841246519408,0.0,0.12
03_rough_h0p008_spacing0p45:0056,03_rough_h0p008_spacing0p45,26.78299999999996,27.182999999999957,20.0,1.0,0.001410630426379833,0.0036448010337453373,0.0018828598422433987,1.0,0.06,20.0,1.0,0.0008331528106446404,0.0015483352820353721,0.0009400253964589464,1.0,0.08,40.0,1.0,0.0012497761132241121,0.0016413453578827536,0.0027466054912825616,1.0,0.08,6.0,1.0,0.27864211201609507,0.28945510710200106,0.27879305280926053,0.0,0.12
03_rough_h0p008_spacing0p45:0057,03_rough_h0p008_spacing0p45,26.98299999999996,27.38299999999996,20.0,1.0,0.002384094796562841,0.005786510457041277,0.003170280575061133,1.0,0.06,20.0,1.0,0.000835252152619499,0.0013364402690328398,0.0009137295121119912,1.0,0.08,40.0,1.0,0.0016393036172846335,0.0018691658496954588,0.004745785904498397,1.0,0.08,6.0,1.0,0.27848753710204327,0.2905756750374913,0.27866504166174494,0.0,0.12
03_rough_h0p008_spacing0p45:0058,03_rough_h0p008_spacing0p45,27.182999999999957,27.582999999999956,20.0,1.0,0.003958985223954925,0.005798772496789473,0.004296929335847588,1.0,0.06,20.0,1.0,0.001968964538262399,0.0042309997103723495,0.0024917752436899956,1.0,0.08,40.0,1.0,0.0028499719332720553,0.007976424378057045,0.005690290010407198,1.0,0.08,6.0,1.0,0.2773086968973529,0.2880282698836847,0.2774574856375289,0.0,0.12
03_rough_h0p008_spacing0p45:0059,03_rough_h0p008_spacing0p45,27.38299999999996,27.78299999999996,20.0,1.0,0.002936152559530747,0.005483874085103108,0.003551694090687882,1.0,0.06,20.0,1.0,0.002629710636619662,0.0044785528999417585,0.003132966612779717,1.0,0.08,40.0,1.0,0.004485779114952029,0.011079563830219352,0.008910605313827813,1.0,0.08,6.0,1.0,0.278015780273052,0.2874028872748449,0.2781060474840238,0.0,0.12
03_rough_h0p008_spacing0p45:0060,03_rough_h0p008_spacing0p45,27.582999999999956,27.982999999999954,20.0,1.0,0.0009519809628519144,0.0038755443391910683,0.0019483956276742697,1.0,0.06,20.0,1.0,0.0012702203687709316,0.003967229205512144,0.002053094039586622,1.0,0.08,40.0,1.0,0.002937598221996147,0.005129869989884549,0.008202607998015313,1.0,0.08,6.0,1.0,0.2812872241219579,0.29079751737515563,0.2813932000141455,0.0,0.12
03_rough_h0p008_spacing0p45:0061,03_rough_h0p008_spacing0p45,27.78299999999996,28.182999999999957,20.0,1.0,3.1838450532961635e-05,3.200435168813631e-05,3.183861364186588e-05,1.0,0.06,20.0,1.0,0.00024755489205553814,0.0002484420665181078,0.0002475564821193585,1.0,0.08,40.0,1.0,0.00015154329097705698,0.00033565151878813264,0.00020393039687740391,1.0,0.08,6.0,1.0,0.2843437822356964,0.29095124742098344,0.2843941412425615,0.0,0.12
03_rough_h0p008_spacing0p45:0062,03_rough_h0p008_spacing0p45,27.982999999999954,28.382999999999953,20.0,1.0,0.0012275931508715031,0.003562446413175075,0.0019801378907016924,1.0,0.06,20.0,1.0,0.000684476939709192,0.001556416324469926,0.0008926150048513218,1.0,0.08,40.0,1.0,0.0010291492334968456,0.0015801528177731593,0.0024378854445030666,1.0,0.08,7.0,1.0,0.2831055639556908,0.28814535502677735,0.2831337770654492,0.0,0.12
03_rough_h0p008_spacing0p45:0063,03_rough_h0p008_spacing0p45,28.182999999999957,28.582999999999956,20.0,1.0,0.0016011122672857953,0.003562446413175075,0.0021109245585314938,1.0,0.06,20.0,1.0,0.0008672304428949168,0.001556416324469926,0.000997822099844113,1.0,0.08,40.0,1.0,0.001165484877153974,0.0015801528177731593,0.0024619398690122665,1.0,0.08,7.0,1.0,0.2792019927797225,0.2858452332364808,0.27924898895046923,0.0,0.12
03_rough_h0p008_spacing0p45:0064,03_rough_h0p008_spacing0p45,28.382999999999953,28.78299999999995,20.0,1.0,0.0010669441468388996,0.002336440052123096,0.0014326944876676688,1.0,0.06,20.0,1.0,0.0006398650317890974,0.0009124898394138099,0.0007009454807703537,1.0,0.08,40.0,1.0,0.0007839716720323692,0.0010731839923968716,0.001707225067609581,1.0,0.08,6.0,1.0,0.2743385401221457,0.2829848333314082,0.27445715672393944,0.0,0.12
03_rough_h0p008_spacing0p45:0065,03_rough_h0p008_spacing0p45,28.582999999999956,28.982999999999954,20.0,1.0,0.002837635435146682,0.005586817215550894,0.003438602252259436,1.0,0.06,20.0,1.0,0.0013474858728955764,0.0028057747663167393,0.0016808699704369526,1.0,0.08,40.0,1.0,0.0021443945716841284,0.0033649749082384395,0.005866714541183976,1.0,0.08,6.0,1.0,0.2737140637589149,0.28353318756789914,0.27385679728541856,0.0,0.12
03_rough_h0p008_spacing0p45:0066,03_rough_h0p008_spacing0p45,28.78299999999995,29.18299999999995,20.0,1.0,0.004346252795875222,0.005804209700326696,0.004536828994100277,1.0,0.06,20.0,1.0,0.002704678330392527,0.004560008343334789,0.0030652108000862634,1.0,0.08,40.0,1.0,0.005556939876258306,0.01244617923762143,0.010444995423177625,1.0,0.08,6.0,1.0,0.2679875828409939,0.27738030074563813,0.2681883024330294,0.0,0.12
03_rough_h0p008_spacing0p45:0067,03_rough_h0p008_spacing0p45,28.982999999999954,29.382999999999953,20.0,1.0,0.0022687314188094138,0.005559540598580832,0.0032152414548977616,1.0,0.06,20.0,1.0,0.0020654101380955083,0.004560008343334789,0.0027654126152002727,1.0,0.08,40.0,1.0,0.004315581862582035,0.011412549656373856,0.0088434538656362,1.0,0.08,6.0,1.0,0.26928621359329924,0.27689396364688196,0.2694892003906763,0.0,0.12
03_rough_h0p008_spacing0p45:0068,03_rough_h0p008_spacing0p45,29.18299999999995,29.58299999999995,20.0,1.0,0.005418708970133015,0.019475089055748438,0.01341975832037035,1.0,0.06,20.0,1.0,0.011562165550760775,0.03793890469958424,0.02965599157025146,0.95,0.08,40.0,1.0,0.010205307671316128,0.03657685799680946,0.026785480003175637,0.95,0.08,6.0,1.0,0.26827051411950525,0.27689396364688196,0.2686270179871407,0.0,0.12
03_rough_h0p008_spacing0p45:0069,03_rough_h0p008_spacing0p45,29.382999999999953,29.78299999999995,20.0,1.0,0.012610198133028199,0.04097216736354286,0.02150660089205564,1.0,0.06,20.0,1.0,0.04618746628329615,0.11513384719232318,0.07174078458145872,0.8,0.08,40.0,1.0,0.028805362886025514,0.09312867620612282,0.04901831639186774,0.85,0.08,6.0,1.0,0.21626211691915775,0.27163533184932304,0.22141695690732874,0.0,0.12
03_rough_h0p008_spacing0p45:0070,03_rough_h0p008_spacing0p45,29.58299999999995,29.982999999999947,20.0,1.0,0.008008795300449376,0.026819123121222695,0.0168595687874348,1.0,0.06,20.0,1.0,0.04784522481963287,0.11513384719232318,0.06786614280152796,0.85,0.08,40.0,1.0,0.020522924525290205,0.07430025604310367,0.041237233866059264,0.9,0.08,6.0,1.0,0.16747194493853348,0.1876865679215718,0.16838189439752213,0.0,0.12
03_rough_h0p008_spacing0p45:0071,03_rough_h0p008_spacing0p45,29.78299999999995,30.18299999999995,20.0,1.0,0.0035078866369941536,0.0062243879964191595,0.004188956353868348,1.0,0.06,20.0,1.0,0.015126249208731877,0.028396138471008903,0.018828421350454337,1.0,0.08,40.0,1.0,0.00589265306417501,0.015210836404580038,0.010823247917609795,1.0,0.08,6.0,1.0,0.17015813289586826,0.18690443569506937,0.17094565058077207,0.0,0.12
03_rough_h0p008_spacing0p45:0072,03_rough_h0p008_spacing0p45,29.982999999999947,30.382999999999946,20.0,1.0,0.004029926739900741,0.0062243879964191595,0.004452065729244233,1.0,0.06,20.0,1.0,0.004328278183481468,0.008252150893119049,0.0054750833281288665,1.0,0.08,40.0,1.0,0.00771736963559568,0.01881629078456981,0.012181438556046354,1.0,0.08,6.0,1.0,0.1993328409765364,0.23184672398811562,0.20116489219765632,0.0,0.12
03_rough_h0p008_spacing0p45:0073,03_rough_h0p008_spacing0p45,30.18299999999995,30.58299999999995,20.0,1.0,0.0017941022615779122,0.003802769434102133,0.0022152273412822912,1.0,0.06,20.0,1.0,0.012027310945636643,0.027894327544242817,0.01568053724490097,1.0,0.08,40.0,1.0,0.004651619437925506,0.011429342689632976,0.007153762661274036,1.0,0.08,6.0,1.0,0.23197819956811627,0.25212466783945475,0.23275841307453218,0.0,0.12
03_rough_h0p008_spacing0p45:0074,03_rough_h0p008_spacing0p45,30.382999999999946,30.782999999999944,20.0,1.0,0.0005858700655719626,0.001850669857639026,0.0009482859032513683,1.0,0.06,20.0,1.0,0.025373967206111448,0.030803241430347617,0.02658256846038635,1.0,0.08,40.0,1.0,0.0013534717995984616,0.003286893936620833,0.0023543032149220943,1.0,0.08,6.0,1.0,0.23709652651910315,0.2568179682572296,0.237589260331096,0.0,0.12
03_rough_h0p008_spacing0p45:0075,03_rough_h0p008_spacing0p45,30.58299999999995,30.982999999999947,20.0,1.0,9.964134782576572e-05,0.00010300595830538273,9.989455639741026e-05,1.0,0.06,20.0,1.0,0.03079680398928226,0.030806102134101933,0.030796819707044478,1.0,0.08,40.0,1.0,0.00018448819367579,0.0003898106686261449,0.00023340990566853462,1.0,0.08,6.0,1.0,0.2330802118415957,0.26252829622613916,0.23430072520603,0.0,0.12
03_rough_h0p008_spacing0p45:0076,03_rough_h0p008_spacing0p45,30.782999999999944,31.182999999999943,20.0,1.0,0.0003393237608139754,0.001014614037658041,0.0006324514594882066,1.0,0.06,20.0,1.0,0.02936604085268536,0.030806493306274295,0.029501770150216267,1.0,0.08,40.0,1.0,0.0006305907468816443,0.0022080892272471064,0.0011220208463434051,1.0,0.08,6.0,1.0,0.20950025653711749,0.2524858809178195,0.21216498635407108,0.0,0.12
03_rough_h0p008_spacing0p45:0077,03_rough_h0p008_spacing0p45,30.982999999999947,31.382999999999946,20.0,1.0,0.0029711953184115834,0.00681812462409604,0.003970715961526361,1.0,0.06,20.0,1.0,0.03277020353607933,0.04675652780073495,0.04963366893603464,0.9,0.08,40.0,1.0,0.01494871620408816,0.04490208728796376,0.04037737712706665,0.925,0.08,6.0,1.0,0.1662106779022812,0.19481052375112382,0.16915895048096072,0.16666666666666666,0.12
03_rough_h0p008_spacing0p45:0078,03_rough_h0p008_spacing0p45,31.182999999999943,31.58299999999994,20.0,1.0,0.005920952971239695,0.00681812462409604,0.0060297317300235164,1.0,0.06,20.0,1.0,0.07714787275726745,0.254112997451607,0.12865761245125243,0.65,0.08,40.0,1.0,0.05747703169927547,0.17715925542400668,0.09551049139953209,0.7,0.08,6.0,1.0,0.14923321815383442,0.19032112956088248,0.15250760495004326,0.3333333333333333,0.12
03_rough_h0p008_spacing0p45:0079,03_rough_h0p008_spacing0p45,31.382999999999946,31.782999999999944,20.0,1.0,0.006546786645860579,0.006624422487264639,0.006548526714635821,1.0,0.06,20.0,1.0,0.058627509088431194,0.254112997451607,0.12035493820651953,0.75,0.08,40.0,1.0,0.04316232018249504,0.17715925542400668,0.08656314634233601,0.775,0.08,6.0,1.0,0.0985560581191105,0.16630504226425616,0.11342450900214644,0.6666666666666666,0.12
03_rough_h0p008_spacing0p45:0080,03_rough_h0p008_spacing0p45,31.58299999999994,31.98299999999994,20.0,1.0,0.006617952577834231,0.0066182139115173845,0.006617952581728491,1.0,0.06,20.0,1.0,0.0005597778498138195,0.0005800629159657067,0.000559986775590768,1.0,0.08,40.0,1.0,0.0001464661337182191,0.0002604593809927003,0.00018622602408734733,1.0,0.08,6.0,1.0,0.05707610907332583,0.08027576724547383,0.060721469337959355,1.0,0.12
03_rough_h0p008_spacing0p45:0081,03_rough_h0p008_spacing0p45,31.782999999999944,32.18299999999994,20.0,1.0,0.006618204809039284,0.006618273263383082,0.006618204809504284,1.0,0.06,20.0,1.0,0.0005337974164211778,0.0005532684513638031,0.0005339988536586035,1.0,0.08,40.0,1.0,0.0001441274773645737,0.0002893756298454453,0.0001966392529103548,1.0,0.08,6.0,1.0,0.04076530009019975,0.08027576724547383,0.05080401571092642,1.0,0.12
03_rough_h0p008_spacing0p45:0082,03_rough_h0p008_spacing0p45,31.98299999999994,32.38299999999994,20.0,1.0,0.006618186055922254,0.006618273263383082,0.0066181860566426175,1.0,0.06,20.0,1.0,0.0005089710899149585,0.0005275326844529527,0.0005091626376733799,1.0,0.08,40.0,1.0,0.00014142167142899286,0.0002908677679639704,0.00018540626010696143,1.0,0.08,6.0,1.0,0.027408568206719955,0.049332719301346806,0.034034214074328266,1.0,0.12
